id,name,programId,levelId,openings,futureOpenings,dayNumber,startTime,endTime,dayName,location,location.short,level,helper,helper2
2786,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Ernest K.,17,17,1,0,5,4:30 PM,5:00PM,Thu,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Thu|Hub - Sheltered Pool|Zuma Beginner 1|4:30 PM,Thu|Hub|Zuma Beginner 1|4:30 PM
2373,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Muhammad Danial B.,66,17,1,0,7,11:30 AM,12:00PM,Sat,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sat|Hub - Indoor Pool|Zuma Beginner 1|11:30 AM,Sat|Hub|Zuma Beginner 1|11:30 AM
708,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Ernest K.,17,17,1,0,7,11:30 AM,12:00PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sat|Hub - Sheltered Pool|Zuma Beginner 1|11:30 AM,Sat|Hub|Zuma Beginner 1|11:30 AM
3060,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Ryan L.,17,17,1,0,7,2:00 PM,2:30PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sat|Hub - Sheltered Pool|Zuma Beginner 1|2:00 PM,Sat|Hub|Zuma Beginner 1|2:00 PM
680,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Amelia F.,17,17,1,0,7,2:30 PM,3:00PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sat|Hub - Sheltered Pool|Zuma Beginner 1|2:30 PM,Sat|Hub|Zuma Beginner 1|2:30 PM
2522,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Amelia F.,17,17,1,0,7,4:30 PM,5:00PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sat|Hub - Sheltered Pool|Zuma Beginner 1|4:30 PM,Sat|Hub|Zuma Beginner 1|4:30 PM
524,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 1 with Coach Nusaibah Sajiah B.,61,17,0,0,1,10:00 AM,10:30AM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 1,Sun|Aqua Studio - Outdoor Pool|Zuma Beginner 1|10:00 AM,Sun|Aqua Studio|Zuma Beginner 1|10:00 AM
3046,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 1 with Coach Amelia F.,61,17,0,0,1,2:00 PM,2:30PM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 1,Sun|Aqua Studio - Outdoor Pool|Zuma Beginner 1|2:00 PM,Sun|Aqua Studio|Zuma Beginner 1|2:00 PM
2383,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Ryan L.,66,17,0,0,1,11:30 AM,12:00PM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sun|Hub - Indoor Pool|Zuma Beginner 1|11:30 AM,Sun|Hub|Zuma Beginner 1|11:30 AM
3114,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Ryan L.,66,17,0,0,1,12:00 PM,12:30PM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sun|Hub - Indoor Pool|Zuma Beginner 1|12:00 PM,Sun|Hub|Zuma Beginner 1|12:00 PM
2797,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Trisha N.,66,17,0,0,1,2:30 PM,3:00PM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sun|Hub - Indoor Pool|Zuma Beginner 1|2:30 PM,Sun|Hub|Zuma Beginner 1|2:30 PM
2686,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Caleb Y.,66,17,0,0,1,9:30 AM,10:00AM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sun|Hub - Indoor Pool|Zuma Beginner 1|9:30 AM,Sun|Hub|Zuma Beginner 1|9:30 AM
621,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Cal C.,17,17,0,0,1,10:00 AM,10:30AM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sun|Hub - Sheltered Pool|Zuma Beginner 1|10:00 AM,Sun|Hub|Zuma Beginner 1|10:00 AM
992,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Cal C.,17,17,0,0,1,3:30 PM,4:00PM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sun|Hub - Sheltered Pool|Zuma Beginner 1|3:30 PM,Sun|Hub|Zuma Beginner 1|3:30 PM
735,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Shannon T.,17,17,0,0,1,4:30 PM,5:00PM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Sun|Hub - Sheltered Pool|Zuma Beginner 1|4:30 PM,Sun|Hub|Zuma Beginner 1|4:30 PM
3213,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Ameer B.,68,17,0,0,1,10:00 AM,10:30AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 1|10:00 AM,Sun|Laguna|Zuma Beginner 1|10:00 AM
2933,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Imam R.,68,17,0,0,1,10:30 AM,11:00AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 1|10:30 AM,Sun|Laguna|Zuma Beginner 1|10:30 AM
3108,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Ryan L.,17,17,0,0,2,4:30 PM,5:00PM,Mon,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Mon|Hub - Sheltered Pool|Zuma Beginner 1|4:30 PM,Mon|Hub|Zuma Beginner 1|4:30 PM
2887,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Cal C.,17,17,0,0,2,5:30 PM,6:00PM,Mon,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Mon|Hub - Sheltered Pool|Zuma Beginner 1|5:30 PM,Mon|Hub|Zuma Beginner 1|5:30 PM
887,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Joey Y.,17,17,0,0,3,3:30 PM,4:00PM,Tue,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Tue|Hub - Sheltered Pool|Zuma Beginner 1|3:30 PM,Tue|Hub|Zuma Beginner 1|3:30 PM
3112,Swish! Hub - Sheltered Pool: Zuma Beginner 1 with Coach Amelia F.,17,17,0,0,5,5:30 PM,6:00PM,Thu,Hub - Sheltered Pool,Hub,Zuma Beginner 1,Thu|Hub - Sheltered Pool|Zuma Beginner 1|5:30 PM,Thu|Hub|Zuma Beginner 1|5:30 PM
545,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 1 with Coach Ryan L.,61,17,0,0,7,10:00 AM,10:30AM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 1,Sat|Aqua Studio - Outdoor Pool|Zuma Beginner 1|10:00 AM,Sat|Aqua Studio|Zuma Beginner 1|10:00 AM
3097,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 1 with Coach Ian W.,61,17,0,0,7,11:00 AM,11:30AM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 1,Sat|Aqua Studio - Outdoor Pool|Zuma Beginner 1|11:00 AM,Sat|Aqua Studio|Zuma Beginner 1|11:00 AM
2370,Swish! Hub - Indoor Pool: Zuma Beginner 1 with Coach Muhammad Danial B.,66,17,0,0,7,10:00 AM,10:30AM,Sat,Hub - Indoor Pool,Hub,Zuma Beginner 1,Sat|Hub - Indoor Pool|Zuma Beginner 1|10:00 AM,Sat|Hub|Zuma Beginner 1|10:00 AM
2531,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Ivan T.,68,17,0,0,7,10:30 AM,11:00AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 1|10:30 AM,Sat|Laguna|Zuma Beginner 1|10:30 AM
2758,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Joey Y.,68,17,0,0,7,10:30 AM,11:00AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 1|10:30 AM,Sat|Laguna|Zuma Beginner 1|10:30 AM
2532,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Ivan T.,68,17,0,0,7,11:00 AM,11:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 1|11:00 AM,Sat|Laguna|Zuma Beginner 1|11:00 AM
901,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Amelia F.,68,17,0,0,7,9:00 AM,9:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 1|9:00 AM,Sat|Laguna|Zuma Beginner 1|9:00 AM
938,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 1 with Coach Joey Y.,68,17,0,0,7,9:00 AM,9:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 1,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 1|9:00 AM,Sat|Laguna|Zuma Beginner 1|9:00 AM
2770,Swish! Hub - Indoor Pool: Zuma Beginner 2 with Coach Caleb Y.,66,18,4,0,1,11:30 AM,12:00PM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 2,Sun|Hub - Indoor Pool|Zuma Beginner 2|11:30 AM,Sun|Hub|Zuma Beginner 2|11:30 AM
1002,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Shannon T.,17,18,3,0,1,3:30 PM,4:00PM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sun|Hub - Sheltered Pool|Zuma Beginner 2|3:30 PM,Sun|Hub|Zuma Beginner 2|3:30 PM
718,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Ryan L.,17,18,3,0,2,4:00 PM,4:30PM,Mon,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Mon|Hub - Sheltered Pool|Zuma Beginner 2|4:00 PM,Mon|Hub|Zuma Beginner 2|4:00 PM
550,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 2 with Coach Nusaibah Sajiah B.,61,18,2,0,1,11:00 AM,11:30AM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 2,Sun|Aqua Studio - Outdoor Pool|Zuma Beginner 2|11:00 AM,Sun|Aqua Studio|Zuma Beginner 2|11:00 AM
531,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 2 with Coach Amelia F.,61,18,2,0,1,5:00 PM,5:30PM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 2,Sun|Aqua Studio - Outdoor Pool|Zuma Beginner 2|5:00 PM,Sun|Aqua Studio|Zuma Beginner 2|5:00 PM
2601,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Cal C.,17,18,2,0,2,4:00 PM,4:30PM,Mon,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Mon|Hub - Sheltered Pool|Zuma Beginner 2|4:00 PM,Mon|Hub|Zuma Beginner 2|4:00 PM
2795,Swish! Hub - Indoor Pool: Zuma Beginner 2 with Coach Trisha N.,66,18,1,0,1,4:00 PM,4:30PM,Sun,Hub - Indoor Pool,Hub,Zuma Beginner 2,Sun|Hub - Indoor Pool|Zuma Beginner 2|4:00 PM,Sun|Hub|Zuma Beginner 2|4:00 PM
623,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Cal C.,17,18,1,0,1,3:00 PM,3:30PM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sun|Hub - Sheltered Pool|Zuma Beginner 2|3:00 PM,Sun|Hub|Zuma Beginner 2|3:00 PM
3214,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ameer B.,68,18,1,0,1,10:30 AM,11:00AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 2|10:30 AM,Sun|Laguna|Zuma Beginner 2|10:30 AM
804,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ivan T.,68,18,1,0,1,11:30 AM,12:00PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 2|11:30 AM,Sun|Laguna|Zuma Beginner 2|11:30 AM
2718,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Imam R.,68,18,1,0,1,2:00 PM,2:30PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 2|2:00 PM,Sun|Laguna|Zuma Beginner 2|2:00 PM
703,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Joey Y.,17,18,1,0,3,5:00 PM,5:30PM,Tue,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Tue|Hub - Sheltered Pool|Zuma Beginner 2|5:00 PM,Tue|Hub|Zuma Beginner 2|5:00 PM
3176,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Ernest K.,17,18,1,0,5,4:00 PM,4:30PM,Thu,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Thu|Hub - Sheltered Pool|Zuma Beginner 2|4:00 PM,Thu|Hub|Zuma Beginner 2|4:00 PM
739,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Ernest K.,17,18,1,0,7,10:00 AM,10:30AM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sat|Hub - Sheltered Pool|Zuma Beginner 2|10:00 AM,Sat|Hub|Zuma Beginner 2|10:00 AM
918,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Amelia F.,68,18,1,0,7,11:00 AM,11:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|11:00 AM,Sat|Laguna|Zuma Beginner 2|11:00 AM
2730,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Shar P.,68,18,1,0,7,8:00 AM,8:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|8:00 AM,Sat|Laguna|Zuma Beginner 2|8:00 AM
3019,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Amelia F.,68,18,1,0,7,8:30 AM,9:00AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|8:30 AM,Sat|Laguna|Zuma Beginner 2|8:30 AM
734,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Amelia F.,17,18,0,0,1,10:30 AM,11:00AM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sun|Hub - Sheltered Pool|Zuma Beginner 2|10:30 AM,Sun|Hub|Zuma Beginner 2|10:30 AM
654,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Cal C.,17,18,0,0,1,12:00 PM,12:30PM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sun|Hub - Sheltered Pool|Zuma Beginner 2|12:00 PM,Sun|Hub|Zuma Beginner 2|12:00 PM
994,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Amelia F.,17,18,0,0,1,9:00 AM,9:30AM,Sun,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sun|Hub - Sheltered Pool|Zuma Beginner 2|9:00 AM,Sun|Hub|Zuma Beginner 2|9:00 AM
2657,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ivan T.,68,18,0,0,1,8:30 AM,9:00AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 2|8:30 AM,Sun|Laguna|Zuma Beginner 2|8:30 AM
806,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Imam R.,68,18,0,0,1,9:30 AM,10:00AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sun|Laguna - 20m Outdoor Pool|Zuma Beginner 2|9:30 AM,Sun|Laguna|Zuma Beginner 2|9:30 AM
3050,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ryan L.,68,18,0,0,3,4:00 PM,4:30PM,Tue,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Tue|Laguna - 20m Outdoor Pool|Zuma Beginner 2|4:00 PM,Tue|Laguna|Zuma Beginner 2|4:00 PM
2206,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ryan L.,68,18,0,0,4,5:00 PM,5:30PM,Wed,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Wed|Laguna - 20m Outdoor Pool|Zuma Beginner 2|5:00 PM,Wed|Laguna|Zuma Beginner 2|5:00 PM
3045,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Amelia F.,17,18,0,0,5,4:30 PM,5:00PM,Thu,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Thu|Hub - Sheltered Pool|Zuma Beginner 2|4:30 PM,Thu|Hub|Zuma Beginner 2|4:30 PM
3029,Swish! Aqua Studio - Outdoor Pool: Zuma Beginner 2 with Coach Ryan L.,61,18,0,0,7,11:30 AM,12:00PM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Beginner 2,Sat|Aqua Studio - Outdoor Pool|Zuma Beginner 2|11:30 AM,Sat|Aqua Studio|Zuma Beginner 2|11:30 AM
2369,Swish! Hub - Indoor Pool: Zuma Beginner 2 with Coach Muhammad Danial B.,66,18,0,0,7,9:00 AM,9:30AM,Sat,Hub - Indoor Pool,Hub,Zuma Beginner 2,Sat|Hub - Indoor Pool|Zuma Beginner 2|9:00 AM,Sat|Hub|Zuma Beginner 2|9:00 AM
720,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Ryan L.,17,18,0,0,7,2:30 PM,3:00PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sat|Hub - Sheltered Pool|Zuma Beginner 2|2:30 PM,Sat|Hub|Zuma Beginner 2|2:30 PM
699,Swish! Hub - Sheltered Pool: Zuma Beginner 2 with Coach Ryan L.,17,18,0,0,7,5:30 PM,6:00PM,Sat,Hub - Sheltered Pool,Hub,Zuma Beginner 2,Sat|Hub - Sheltered Pool|Zuma Beginner 2|5:30 PM,Sat|Hub|Zuma Beginner 2|5:30 PM
915,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Joey Y.,68,18,0,0,7,11:00 AM,11:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|11:00 AM,Sat|Laguna|Zuma Beginner 2|11:00 AM
790,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Amelia F.,68,18,0,0,7,11:30 AM,12:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|11:30 AM,Sat|Laguna|Zuma Beginner 2|11:30 AM
2428,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ivan T.,68,18,0,0,7,2:00 PM,2:30PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|2:00 PM,Sat|Laguna|Zuma Beginner 2|2:00 PM
899,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Shar P.,68,18,0,0,7,3:30 PM,4:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|3:30 PM,Sat|Laguna|Zuma Beginner 2|3:30 PM
2816,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ivan T.,68,18,0,0,7,4:30 PM,5:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|4:30 PM,Sat|Laguna|Zuma Beginner 2|4:30 PM
2529,Swish! Laguna - 20m Outdoor Pool: Zuma Beginner 2 with Coach Ivan T.,68,18,0,0,7,9:00 AM,9:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Beginner 2,Sat|Laguna - 20m Outdoor Pool|Zuma Beginner 2|9:00 AM,Sat|Laguna|Zuma Beginner 2|9:00 AM
3238,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ameer B.,68,9,4,0,1,11:00 AM,11:30AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sun|Laguna - 20m Outdoor Pool|Zuma Paddler|11:00 AM,Sun|Laguna|Zuma Paddler|11:00 AM
3056,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Ryan L.,17,9,4,0,2,3:30 PM,4:00PM,Mon,Hub - Sheltered Pool,Hub,Zuma Paddler,Mon|Hub - Sheltered Pool|Zuma Paddler|3:30 PM,Mon|Hub|Zuma Paddler|3:30 PM
3251,Swish! Aqua Studio - Outdoor Pool: Zuma Paddler with Coach Muhammad Danial B.,61,9,4,0,6,4:00 PM,4:30PM,Fri,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Paddler,Fri|Aqua Studio - Outdoor Pool|Zuma Paddler|4:00 PM,Fri|Aqua Studio|Zuma Paddler|4:00 PM
3250,Swish! Aqua Studio - Outdoor Pool: Zuma Paddler with Coach Muhammad Danial B.,61,9,4,0,6,5:30 PM,6:00PM,Fri,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Paddler,Fri|Aqua Studio - Outdoor Pool|Zuma Paddler|5:30 PM,Fri|Aqua Studio|Zuma Paddler|5:30 PM
3203,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Ernest K.,17,9,4,0,7,9:00 AM,9:30AM,Sat,Hub - Sheltered Pool,Hub,Zuma Paddler,Sat|Hub - Sheltered Pool|Zuma Paddler|9:00 AM,Sat|Hub|Zuma Paddler|9:00 AM
917,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Joey Y.,68,9,4,0,7,8:00 AM,8:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|8:00 AM,Sat|Laguna|Zuma Paddler|8:00 AM
